ID	ЖАНР	СБОРНИК	НАЗВАНИЕ	ГОД	ПОЛ	ИМЯ	КАТЕГОРИЯ	ТИП	СЛОВ	ЛЕКС
1	СТИХ	МОЗАИКА - ПАРАБОЛА	Гойя	1957	М	Гойя Франсиско	Художник	14	69	0,81
2	СТИХ	МОЗАИКА - ПАРАБОЛА	Пожар в Архитектурном институте	1957	Ж	Красильникова Карина	Архитектор	4	123	0,85
3	СТИХ	МОЗАИКА - ПАРАБОЛА	Немые в магазине	1958	М	Бетховен Людвиг ван	Композитор	4	94	0,88
4	СТИХ	МОЗАИКА - ПАРАБОЛА	Немые в магазине	1958	М	Журавлёв Дмитрий Николаевич	Литературный деятель	4	94	0,88
5	СТИХ	МОЗАИКА - ПАРАБОЛА	Немые в магазине	1958	М	Ленин Владимир Ильич	Революционер	4	94	0,88
6	СТИХ	МОЗАИКА - ПАРАБОЛА	Туманная улица	1958	Ж	Венера	Мифологический персонаж	4	97	0,84
7	СТИХ	МОЗАИКА - ПАРАБОЛА	Параболическая баллада	1958	М	Гоген Поль	Художник	4	202	0,81
8	СТИХ	МОЗАИКА - ПАРАБОЛА	Бьют женщину	1960	М	Гарольд Чайлд	Литературный персонаж	4	153	0,74
9	СТИХ	МОЗАИКА - ПАРАБОЛА	Потерянная баллада	1962	М	Гойя Франсиско	Художник	4	237	0,74
10	СТИХ	МОЗАИКА - ПАРАБОЛА	"""К нам забредал Булат..."""	1960	М	Окуджава Булат Шалвович	Музыкант, поэт	4	88	0,85
11	СТИХ	МОЗАИКА - ПАРАБОЛА	Елена Сергеевна	1958	Ж	Елена Сергеевна	Педагог	14	155	0,82
12	СТИХ	МОЗАИКА - ПАРАБОЛА	Последняя электричка	1958	Ж	Беатриче	Литературный персонаж	4	107	0,84
13	СТИХ	МОЗАИКА - ПАРАБОЛА	Песня Офелии	1957	Ж	Офелия	Литературный персонаж	14	81	0,83
14	СТИХ	МОЗАИКА - ПАРАБОЛА	Песня Офелии	1957	М	Гамлет	Литературный персонаж	4	81	0,83
15	СТИХ	МОЗАИКА - ПАРАБОЛА	Сибирские бани	1958	М	Ренуар Пьер Огюст	Художник	4	101	0,82
16	СТИХ	МОЗАИКА - ПАРАБОЛА	Осень	1959	М	Щипачёв Степан Петрович	Поэт	2	160	0,78
17	СТИХ	МОЗАИКА - ПАРАБОЛА	Тайгой	1958	Ж	Дюймовочка	Литературный персонаж	4	102	0,73
18	СТИХ	МОЗАИКА - ПАРАБОЛА	Тбилисские базары	1958	М	Рафаэль Санти	Художник	4	78	0,85
19	СТИХ	МОЗАИКА - ПАРАБОЛА	Тбилисские базары	1958	М	Рубенс Питер Пауль	Художник	4	78	0,85
20	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада точки 	1958	М	Пушкин Александр Сергеевич	Поэт	4	88	0,79
21	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	М	Евтушенко Евгений Александрович	Поэт	2	201	0,74
22	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	М	Петр I Алексеевич	Историческая личность	4	201	0,74
23	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	М	Рубенс Питер Пауль	Художник	4	201	0,74
24	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	Ж	Вирсавия	Библейский персонаж	4	201	0,74
25	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	Ж	Савская царица	Библейский персонаж	4	201	0,74
26	СТИХ	МОЗАИКА - ПАРАБОЛА	Баллада работы	1958	Ж	Саския (жена Рубенса)	Муза	4	201	0,74
27	СТИХ	МОЗАИКА - ПАРАБОЛА	"""Ах, сыграй мне, Булат, полечку..."""	1961	М	Окуджава Булат Шалвович	Музыкант, поэт	4	89	0,86
28	СТИХ	МОЗАИКА - ПАРАБОЛА	"Сирень ""Москва — Варшава»"	1961	М	Гамзатов Расул Гамидович	Поэт, писатель	2	158	0,72
29	СТИХ	МОЗАИКА - ПАРАБОЛА	"""Конфедераток тузы бесшабашные..."""	1961	Ж	Богоматерь	Библейский персонаж	4	66	0,86
30	СТИХ	МОЗАИКА - ПАРАБОЛА	"""Конфедераток тузы бесшабашные..."""	1961	М	Вознесенский Андрей Андреевич	Поэт, писатель	4	66	0,86
31	СТИХ	МОЗАИКА - ПАРАБОЛА	Стога	1961	Ж	Мадонна	Библейский персонаж	4	95	0,91
32	СТИХ	МОЗАИКА - ПАРАБОЛА	"Эпитафия (""Брат, не загадывай на завтра!.."")"	1980	М	Барт Ролан	Литературный деятель	4	14	0,87
33	СТИХ	МОЗАИКА - ПАРАБОЛА	Мотогонки по вертикальной стене	1960	Ж	Андросова Наталья Николаевна	Гонщик	2	140	0,79
34	СТИХ	МОЗАИКА - ПАРАБОЛА	Мотогонки по вертикальной стене	1960	М	Икар	Мифологический персонаж	4	140	0,79
35	СТИХ	МОЗАИКА - ПАРАБОЛА	Мотогонки по вертикальной стене	1960	М	Чингисхан	Военный деятель	4	140	0,79
36	СТИХ	МОЗАИКА - ПАРАБОЛА	Мотогонки по вертикальной стене	1960	М	Сингичанц	Общественный деятель	4	140	0,79
37	СТИХ	МОЗАИКА - ПАРАБОЛА	Длинного	1963	М	Таривердиев Микаэл Леонович	Композитор	2	159	0,78
38	СТИХ	МОЗАИКА - ПАРАБОЛА	Латышский эскиз	1963	Ж	Рута	Лирический персонаж	4	104	0,86
39	СТИХ	МОЗАИКА - ПАРАБОЛА	Осень в Сигулде	1961	М	Вознесенский Андрей Андреевич	Поэт, писатель	4	269	0,67
40	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Вступление («Открывайся, Америка! Эврика! …»)	1961	М	Колумб Христофор	Мореплаватель	4	96	0,86
41	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Вступление («Открывайся, Америка! Эврика! …»)	1961	М	Рошаль Григорий Львович	Врач	4	97	0,86
42	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Вступление («Открывайся, Америка! Эврика! …»)	1961	М	Емелька	Фольклорный персонаж	4	98	0,86
43	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Вступление («Открывайся, Америка! Эврика! …»)	1961	М	Дарвин Чарльз	Учёный	4	99	0,86
44	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Рок-н-ролл	1961	М	Тарковский Андрей Арсеньевич	Режиссер	2	256	0,77
45	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Рок-н-ролл	1961	Ж	Мадонна	Библейский персонаж	4	256	0,77
46	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	Монолог Мерлин Монро	1963	Ж	Монро Мерилин	Актер	14	286	0,76
47	СТИХ	ТРЕУГОЛЬНАЯ ГРУША	"""Друг, не пой мне песню про Сталина..."""	1958	М	Сталин Иосиф Виссарионович	Историческая личность	4	72	0,85
