	ИМЯ	ПОЛ	КАТЕГОРИЯ	ГОДЫ ЖИЗНИ	ЗНАКОМСТВО	Года в ПРОЗА	Года в СТИХ	Года в ПОЭМА	Года в ДРАМА	Года в СТИХ+ПРОЗА
1	Абдулов Александр Гаврилович	М	Актер	1953-2008	1	1990	2008			
2	Авалиани Дмитрий Сергеевич	М	Поэт	1938-2003	1	2002			2002	
3	Аввакум Петров	М	Религиозный деятель	1620-1682	0	1984	1981, 1989	2008		
4	Аверинцев Сергей Сергеевич	М	Литературный деятель	1937-2004	1	1987, 1998	1975			
5	Аксенов Василий Павлович	М	Писатель	1932-2009	1	1972, 1983, 1984, 1990, 1992, 1997, 1998, 2000	2006			
6	Александр III	М	Историческая личность	1845-1894	0	1984		1979		
7	Асеев Николай Николаевич	М	Поэт	1889-1963	1	1966, 1976, 1981, 1982, 2009	1973	1964, 1998		
8	Астафьев Виктор Петрович	М	Писатель	1924-2001	1	2001	1987			
9	Ахмадулина Белла Ахатовна	Ж	Поэт	1937-2010	1	1976, 1983, 1984, 1990, 1994, 1998, 1999, 2001, 2006	1958, 1962, 1963, 1972, 2007			
10	Ахматова Анна Андреевна	Ж	Поэт	1889-1966	1	1966, 1973, 1981, 1984, 1990, 1992, 1994, 1997, 1998, 1999, 2000, 2003	1966, 1977, 1981, 1982			
11	Байрон Джордж Гордон	М	Поэт	1788-1824	0	1967	1972, 1987			
12	Бакунин Михаил Александрович	М	Революционер	1814-1876	0	1966, 1998	1977			
13	Бальмонт Константин Дмитриевич	М	Поэт	1867-1942	0	1983, 1984, 1992, 1998, 2003	1977, 1980, 1989			
14	Барков Иван Семенович	М	Поэт	1732-1768	0	1992	1975			
15	Барма	М	Архитектор	Неизвестно	0	1973		1957, 1979		
16	Барт Ролан	М	Литературный деятель	1915-1980	0	1992	1980			
17	Барышников Михаил Николаевич	М	Балет	1948-н.в.	0	1984	2009			
18	Бах Иоганн Себастьян	М	Композитор	1685-1750	0	1966, 1984	1977, 1982, 1990, 2003, 2005			
19	Башмет Юрий Абрамович	М	Музыкант	1953-н.в.	1	1998	1997			
20	Бедуля Владимир Леонтьич	М	Крестьянин, фермер	Неизвестно	1	1984	1972			
21	Белый Андрей (Бугаев Борис Николаевич)	М	Поэт, писатель	1880-1934	0	1981, 1984, 1990, 1994, 2003	1982		1999	
22	Бенуа Александр Николаевич	М	Художник	1870-1960	0	1984		1979		
23	Берберова Нина Николаевна	Ж	Писатель	1901-1993	1	1984, 1992, 2003	1981			
24	Берггольц Ольга Федоровна	Ж	Поэт	1910-1975	0	1984, 1997	1975, 1987			
25	Берия Лаврентий Павлович	М	Политический деятель	1899-1953	0	1990		1999		
26	Бетховен Людвиг ван	М	Композитор	1770-1827	0	1975	1958, 1997			
27	Блейк Уильям	М	Поэт, художник	1757-1827	0	1992	1997			
28	Блок Александр Александрович	М	Поэт	1880-1921	0	1970, 1973, 1976, 1981, 1982, 1983, 1984, 1987, 1990, 1992, 1994, 1998, 1999, 2001, 2002, 2003, 2006	1970, 1977, 1981, 1982, 1984, 1993, 1997	1999		
29	Бове Осип Иванович	М	Архитектор	1784-1834	0	1987, 1998, 2004	1984	2004		
30	Богуславская Зоя Борисовна	Ж	Писатель	1924-н.в.	1	1968, 1990, 1992	1962, 1969, 1971, 1972, 1983	1964		
31	Божилов Божидар	М	Поэт	1913-1987	1	1998, 2002	1967			
32	Боков Виктор Фёдорович	М	Поэт	1914-2009	1	1962, 1981, 1999, 2000	1957, 1961, 1970, 1974			
33	Брежнев Леонид Ильич	М	Политический деятель	1906-1982	1	1966, 1984, 1990, 1998, 1999, 2000	1984	1999	1999	
34	Брик Лиля Юрьевна	Ж	Муза	1891-1978	1	1966, 1981, 1984, 1990, 1992	1963			1969
35	Булгаков Михаил Афанасьевич	М	Писатель	1891-1940	0	1992, 1998	1979	1999	2002	
36	Бунин Иван Алексеевич	М	Писатель	1870-1953	0	1992, 2003		1986		
37	Буш Джордж	М	Политический деятель	1924-2018	1	1992, 2004	2005			1999
38	Ван Гог Винсент	М	Художник	1853-1890	0	1970, 2001	1973	1999		
39	Войнович Владимир Николаевич	М	Писатель	1932-2018	1	1990	2002			
40	Войтыла Кароль	М	Религиозный деятель	1920-2005	0	1990	2005			
41	Врубель Михаил Александрович	М	Художник	1856-1910	0	1968, 1973, 1975, 1984, 1997, 1998	1975, 1984			
42	Высоцкий Владимир Семенович	М	Музыкант, поэт	1938-1980	1	1981, 1984, 1990, 1994, 1998, 2000	1971, 1980, 1982		1974	
43	Гавел Вацлав	М	Политический деятель	1936-2011	1	1983	1989		1999	
44	Гагарин Юрий Алексеевич	М	Авиация и космонавтика	1934-1968	0	1984	1980	1999		
45	Гайдн Йозеф	М	Композитор	1732-1809	0	1994	1997			
46	Гамлет	М	Литературный персонаж	Неизвестно	0	1973	1957, 1965, 1980, 1998, 2005		1974	
47	Герцен Александр Иванович	М	Писатель	1812-1870	0	1984, 1998	1979, 1982	1979		
48	Гинсберг Аллен	М	Поэт	1926-1997	1	1971, 1981, 1984, 1992, 1994, 1997, 1998, 1999	1975, 1997, 2009			1968
49	Гиппиус Зинаида Николаевна	Ж	Поэт	1869-1945	0	1992			2002	
50	Гитлер Адольф	М	Историческая личность	1889-1945	0	1992, 1994, 1997, 1999	1992		2003	
51	Глазунов Илья Сергеевич	М	Художник	1930-2017	1	1992	1974			
52	Гоген Поль	М	Художник	1848-1903	0	1973, 1976, 1990	1958			
53	Гоголь Николай Васильевич	М	Писатель	1809-1852	0	1972, 1975, 1994, 1997, 1998, 1999	1963, 1974, 2008	1996		
54	Гойя Франсиско	М	Художник	1746-1828	0	1992	1957, 1962			
55	Голицын Илларион Владимирович	М	Художник	1884-1949	0	1990, 2000	2000			
56	Головина Наташа	Ж	Художник	1970-н.в.	1	1998	2005			
57	Гончарова Наталья Николаевна	Ж	Муза	1812-1863	0	1984, 1992	1985			
58	Горбачёв Михаил Сергеевич	М	Политический деятель	1931-2022	1	1994	2001, 2005		2003	
59	Грасс Гюнтер	М	Поэт, писатель	1927-2015	1	1983, 1998, 2000	1980		2002	
60	Гребенщиков Борис Борисович	М	Музыкант, поэт	1953-н.в.	1	1990, 1992, 1994, 1998, 1999, 2006	1980, 1991, 1994, 1998, 2007		2000	
61	Грибоедов Александр Сергеевич	М	Драматург	1795-1829	0	1984, 2003	1997			
62	Гудиашвили Ладо	М	Художник	1896-1980	0	1984		1979		
63	Гумилев Николай Степанович	М	Поэт	1886-1921	0	1984, 1990, 1992, 1994, 1998, 2003, 2006	1980, 1981		2000	
64	Гёте Иоганн Вольфганг	М	Поэт, писатель	1749-1832	0	1967, 1990, 1997, 1998	1987	1998		
65	Да Винчи Леонардо	М	Художник	1452-1519	0	1967, 1990, 1994	1979	1996		1967
66	Дали Сальвадор	М	Художник	1904-1989	0	1984, 1990, 1992, 1994, 1998, 2000	1982, 1993, 2004	1963, 1999		
67	Дали Эльвира (Гала)	Ж	Муза	1894-1982	0	1994		1999		
68	Данте Алигьери	М	Поэт	1265-1321	0	1998	1965, 1975, 1980, 1982	1982, 1999	2003	
69	Даргомыжский Александр Сергеевич	М	Композитор	1813-1869	0	1984	2005			
70	Делон Ален	М	Актер	1935-2024	0	1998	1989			
71	Дементьев Андрей Дмитриевич	М	Поэт	1928-2018	1	1975, 1984, 1998	1971			
72	Демидова Алла Сергеевна	Ж	Актер	1936-н.в.	1	1990			1974	
